"Fullname","PowerShell51","PowerShell61","PSStandard5","ExclusionReason"
"System.Management.Automation.Language.DynamicKeywordBodyMode","True","True","True",""
"System.Management.Automation.Language.DynamicKeywordNameMode","True","True","True",""
"System.Management.Automation.Language.DynamicKeywordParameter","True","True","True",""
"System.Management.Automation.Language.DynamicKeywordProperty","True","True","True",""
"System.Management.Automation.Language.DynamicKeywordStatementAst","True","True","True",""
"System.Management.Automation.Language.ErrorExpressionAst","True","True","True",""
"System.Management.Automation.Language.ErrorStatementAst","True","True","True",""
"System.Management.Automation.Language.ExitStatementAst","True","True","True",""
"System.Management.Automation.Language.ExpandableStringExpressionAst","True","True","True",""
"System.Management.Automation.Language.ExpressionAst","True","True","True",""
"System.Management.Automation.Language.FileRedirectionAst","True","True","True",""
"System.Management.Automation.Language.FileRedirectionToken","True","True","True",""
"System.Management.Automation.Language.ForEachFlags","True","True","True",""
"System.Management.Automation.Language.ForEachStatementAst","True","True","True",""
"System.Management.Automation.Language.ForStatementAst","True","True","True",""
"System.Management.Automation.Language.FunctionDefinitionAst","True","True","True",""
"System.Management.Automation.Language.FunctionMemberAst","True","True","True",""
"System.Management.Automation.Language.GenericTypeName","True","True","True",""
"System.Management.Automation.Language.HashtableAst","True","True","True",""
"System.Management.Automation.Language.IAstPostVisitHandler","True","True","True",""
"System.Management.Automation.Language.ICustomAstVisitor","True","True","True",""
"System.Management.Automation.Language.ICustomAstVisitor2","True","True","True",""
"System.Management.Automation.Language.IfStatementAst","True","True","True",""
"System.Management.Automation.Language.IndexExpressionAst","True","True","True",""
"System.Management.Automation.Language.InputRedirectionToken","True","True","True",""
"System.Management.Automation.Language.InvokeMemberExpressionAst","True","True","True",""
"System.Management.Automation.Language.IScriptExtent","True","True","True",""
"System.Management.Automation.Language.IScriptPosition","True","True","True",""
"System.Management.Automation.Language.ITypeName","True","True","True",""
"System.Management.Automation.Language.LabeledStatementAst","True","True","True",""
"System.Management.Automation.Language.LabelToken","True","True","True",""
"System.Management.Automation.Language.LoopStatementAst","True","True","True",""
"System.Management.Automation.Language.MemberAst","True","True","True",""
"System.Management.Automation.Language.MemberExpressionAst","True","True","True",""
"System.Management.Automation.Language.MergingRedirectionAst","True","True","True",""
"System.Management.Automation.Language.MergingRedirectionToken","True","True","True",""
"System.Management.Automation.Language.MethodAttributes","True","True","True",""
"System.Management.Automation.Language.NamedAttributeArgumentAst","True","True","True",""
"System.Management.Automation.Language.NamedBlockAst","True","True","True",""
"System.Management.Automation.Language.NullString","True","True","True",""
"System.Management.Automation.Language.NumberToken","True","True","True",""
"System.Management.Automation.Language.ParamBlockAst","True","True","True",""
"System.Management.Automation.Language.ParameterAst","True","True","True",""
"System.Management.Automation.Language.ParameterBindingResult","True","True","True",""
"System.Management.Automation.Language.ParameterToken","True","True","True",""
"System.Management.Automation.Language.ParenExpressionAst","True","True","True",""
"System.Management.Automation.Language.ParseError","True","True","True",""
"System.Management.Automation.Language.Parser","True","True","True",""
"System.Management.Automation.Language.PipelineAst","True","True","True",""
"System.Management.Automation.Language.PipelineBaseAst","True","True","True",""
"System.Management.Automation.Language.PropertyAttributes","True","True","True",""
"System.Management.Automation.Language.PropertyMemberAst","True","True","True",""
"System.Management.Automation.Language.RedirectionAst","True","True","True",""
"System.Management.Automation.Language.RedirectionStream","True","True","True",""
"System.Management.Automation.Language.RedirectionToken","True","True","True",""
"System.Management.Automation.Language.ReflectionTypeName","True","True","True",""
"System.Management.Automation.Language.ReturnStatementAst","True","True","True",""
"System.Management.Automation.Language.ScriptBlockAst","True","True","True",""
"System.Management.Automation.Language.ScriptBlockExpressionAst","True","True","True",""
"System.Management.Automation.Language.ScriptExtent","True","True","True",""
"System.Management.Automation.Language.ScriptPosition","True","True","True",""
"System.Management.Automation.Language.ScriptRequirements","True","True","True",""
"System.Management.Automation.Language.StatementAst","True","True","True",""
"System.Management.Automation.Language.StatementBlockAst","True","True","True",""
